"MAKEID","MODELID","ODSMAKEID","ODSMODELID"
"20000053","20002328","20053","26504"
"20000053","20002332","20053","26508"
"20000053","20002334","20053","26902"
"20000053","20002336","20053","27361"
"20000053","20002362","20053","32743"
"20000053","20002381","20053","35025"
"20000053","20002382","20053","35026"
"20000053","20002436","20053","42324"
"20000053","20002469","20053","47275"
"20000053","20002495","20053","49403"
"20000053","20002541","20053","52668"
"20000053","20002547","20053","53075"
"20000053","20002548","20053","53187"
"20000053","20002599","20053","57087"
"20000053","20002605","20053","57328"
"20000053","20002607","20053","57447"
"20000053","30000671","20053","30000671"
"20000053","30019417","20053","30019417"
"20000053","30021883","20053","30021883"
"20000053","30028443","20053","30028443"
"20000053","36274172","20053","36274172"
"20000054","20000204","20054","21397"
"20000054","20000536","20054","21730"
"20000054","20000738","20054","21934"
"20000054","20001347","20054","20401"
"20000054","20001544","20054","20599"
"20000054","20001867","20054","20925"
"20000054","20001885","20054","20943"
"20000054","20001912","20054","20970"
"20000054","20001927","20054","20985"
"20000054","20002177","20054","21237"
"20000055","20000641","20055","21836"
"20000055","20001755","20055","20812"
"20000056","20000245","20056","21439"
"20000056","20000517","20056","21711"
"20000056","20000556","20056","21750"
"20000057","20000454","20057","21648"
"20000057","20000545","20057","21739"
"20000057","20000593","20057","21788"
"20000057","20000670","20057","21865"
"20000057","20000709","20057","21905"
"20000057","20000728","20057","21924"
"20000057","20001559","20057","20614"
"20000057","20001565","20057","20620"
"20000057","20001567","20057","20622"
"20000057","20001572","20057","20627"
"20000057","20001697","20057","20754"
"20000057","20001698","20057","20755"
"20000057","20001844","20057","20902"
"20000057","20001938","20057","20996"
"20000057","20002065","20057","21124"
"20000057","20002091","20057","21150"
"20000057","20002093","20057","21152"
"20000058","20000302","20058","21496"
"20000058","20000596","20058","21791"
"20000058","20001011","20058","22210"
"20000058","20001055","20058","22254"
"20000058","20001084","20058","22283"
"20000059","20000428","20059","21622"
"20000059","20000771","20059","21968"
"20000059","20000875","20059","22073"
"20000059","20001024","20059","22223"
"20000059","20001752","20059","20809"
"20000059","20002067","20059","21126"
"20000059","20002083","20059","21142"
"20000060","20000582","20060","21777"
"20000060","20000894","20060","22092"
"20000060","20000922","20060","22120"
"20000060","20001187","20060","20241"
"20000060","20001191","20060","20245"
"20000060","20001194","20060","20248"
"20000060","20001199","20060","20253"
"20000060","20001206","20060","20260"
"20000060","20001213","20060","20267"
"20000060","20001223","20060","20277"
"20000060","20001227","20060","20281"
"20000060","20001236","20060","20290"
"20000060","20001260","20060","20314"
"20000060","20001277","20060","20331"
"20000060","20001292","20060","20346"
"20000060","20001428","20060","20483"
"20000060","20001440","20060","20495"
"20000060","20001442","20060","20497"
"20000060","20001491","20060","20546"
"20000060","20001493","20060","20548"
"20000060","20001649","20060","20706"
"20000060","20002243","20060","22377"
"20000060","20002452","20060","43523"
"20000060","20002520","20060","51868"
"20000060","20002550","20060","53260"
"20000060","20002620","20060","58488"
"20000060","33484310","20060","33484310"
"20000061","20000132","20061","21324"
"20000061","20000513","20061","21707"
"20000061","20000581","20061","21775"
"20000061","20000652","20061","21847"
"20000061","20000661","20061","21856"
"20000061","20000701","20061","21897"
"20000061","20000708","20061","21904"
"20000061","20000711","20061","21907"
"20000061","20000769","20061","21966"
"20000061","20000846","20061","22044"
"20000061","20000847","20061","22045"
"20000061","20000899","20061","22097"
"20000061","20000909","20061","22107"
"20000061","20000911","20061","22109"
"20000061","20000926","20061","22124"
"20000061","20000950","20061","22148"
"20000061","20001062","20061","22261"
"20000061","20001133","20061","22332"
"20000061","20001154","20061","22353"
"20000061","20001223","20061","20277"
"20000061","20001323","20061","20377"
"20000061","20001396","20061","20451"
"20000061","20001552","20061","20607"
"20000061","20001721","20061","20778"
"20000061","20001733","20061","20790"
"20000061","20001926","20061","20984"
"20000061","20002003","20061","21062"
"20000061","20002004","20061","21063"
"20000061","20002016","20061","21075"
"20000061","20002259","20061","22393"
"20000061","20002260","20061","22394"
"20000061","20002329","20061","26505"
"20000061","20002333","20061","26509"
"20000061","20002354","20061","30003"
"20000061","34280445","20061","34280445"
"20000062","20000306","20062","21500"
"20000062","20000602","20062","21797"
"20000062","20000893","20062","22091"
"20000062","20000996","20062","22195"
"20000062","20001005","20062","22204"
"20000063","20000115","20063","21307"
"20000063","20000128","20063","21320"
"20000063","20000293","20063","21487"
"20000063","20000343","20063","21537"
"20000063","20000366","20063","21560"
"20000063","20000369","20063","21563"
"20000063","20000373","20063","21567"
"20000063","20000506","20063","21700"
"20000063","20000513","20063","21707"
"20000063","20000581","20063","21775"
"20000063","20000875","20063","22073"
"20000063","20000890","20063","22088"
"20000063","20000906","20063","22104"
"20000063","20000908","20063","22106"
"20000063","20000931","20063","22129"
"20000063","20000938","20063","22136"
"20000063","20000991","20063","22190"
"20000063","20001021","20063","22220"
"20000063","20001023","20063","22222"
"20000063","20001024","20063","22223"
"20000063","20001095","20063","22294"
"20000063","20001147","20063","22346"
"20000063","20001173","20063","22373"
"20000063","20001640","20063","20697"
"20000063","20001641","20063","20698"
"20000063","20001776","20063","20834"
"20000063","20001779","20063","20837"
"20000063","20001805","20063","20863"
"20000063","20001821","20063","20879"
"20000063","20001831","20063","20889"
"20000063","20001844","20063","20902"
"20000063","20001849","20063","20907"
"20000063","20001851","20063","20909"
"20000063","20001922","20063","20980"
"20000063","20001926","20063","20984"
"20000063","20001938","20063","20996"
"20000063","20001942","20063","21000"
"20000063","20001992","20063","21051"
"20000063","20002167","20063","21227"
"20000063","20002194","20063","21254"
"20000063","20002195","20063","21255"
"20000063","20002215","20063","21275"
"20000063","20002222","20063","21282"
"20000064","20000703","20064","21899"
"20000064","20000758","20064","21955"
"20000064","20000948","20064","22146"
"20000064","20001065","20064","22264"
"20000064","20001073","20064","22272"
"20000064","20001103","20064","22302"
"20000064","20001118","20064","22317"
"20000064","20001550","20064","20605"
"20000064","20001609","20064","20666"
"20000064","20001994","20064","21053"
"20000064","20002014","20064","21073"
"20000064","20002023","20064","21082"
"20000064","20002161","20064","21221"
"20000064","20002247","20064","22381"
"20000064","20002347","20064","27781"
"20000064","20002357","20064","30263"
"20000064","20002392","20064","35963"
"20000064","20002417","20064","39583"
"20000064","20002435","20064","42323"
"20000064","20002501","20064","49764"
"20000064","20002505","20064","50643"
"20000064","33386193","20064","33386193"
"20000064","36301306","20064","36301306"
"20000064","36301312","20064","36301312"
"20000065","20000120","20065","21312"
"20000065","20000122","20065","21314"
"20000065","20000124","20065","21316"
"20000065","20000127","20065","21319"
"20000065","20000134","20065","21326"
"20000065","20000136","20065","21328"
"20000065","20000137","20065","21329"
"20000065","20000138","20065","21330"
"20000065","20000139","20065","21331"
"20000065","20000140","20065","21332"
"20000065","20000142","20065","21334"
"20000065","20000146","20065","21338"
"20000065","20000152","20065","21344"
"20000065","20000153","20065","21345"
"20000065","20000154","20065","21346"
"20000065","20000156","20065","21348"
"20000065","20000158","20065","21350"
"20000065","20000164","20065","21356"
"20000065","20000165","20065","21357"
"20000065","20000195","20065","21388"
"20000065","20000197","20065","21390"
"20000065","20000205","20065","21398"
"20000065","20000215","20065","21409"
"20000065","20000218","20065","21412"
"20000065","20000235","20065","21429"
"20000065","20000571","20065","21765"
"20000065","20000575","20065","21769"
"20000065","20000581","20065","21775"
"20000065","20000623","20065","21818"
"20000065","20000625","20065","21820"
"20000065","20000634","20065","21829"
"20000065","20000638","20065","21833"
"20000065","20000648","20065","21843"
"20000065","20000650","20065","21845"
"20000065","20000651","20065","21846"
"20000065","20000657","20065","21852"
"20000065","20000686","20065","21881"
"20000065","20000706","20065","21902"
"20000065","20000707","20065","21903"
"20000065","20000717","20065","21913"
"20000065","20000719","20065","21915"
"20000065","20000721","20065","21917"
