"TRIMID","ODSID","NAME"
"20003361","24087","Heritage STX Flareside"
"20003362","24088","Heritage STX Styleside"
"20003363","24089","Heritage STX SuperCab"
"20003364","24090","Heritage SVT Lightning Flareside"
"20003365","24091","Heritage XL Flareside"
"20003366","24092","Heritage XL Styleside SuperCab"
"20003367","24093","Heritage XL SuperCab Flareside"
"20003368","24094","K1500 LS"
"20003369","24095","Heritage XLT Flareside"
"20003370","24096","K1500 SL"
"20003371","24097","Heritage XLT Styleside"
"20003372","24098","K1500 Special"
"20003373","24099","Heritage XLT Styleside SuperCrew"
"20003374","24100","K2500"
"20003375","24101","Heritage XLT SuperCab Flareside"
"20003376","24102","K2500 Extended Cab"
"20003377","24103","K2500 Extended Cab LS"
"20003378","24104","K2500 Extended Cab SL"
"20003379","24105","K2500 Extended Cab SLT"
"20003380","24106","K2500 H/D Crew Cab"
"20003381","24107","Hertage Lariat SuperCrew"
"20003382","24108","K2500 HD"
"20003383","24109","Hunter"
"20003384","24110","K2500 HD Crew Cab LS"
"20003385","24111","Hybrid"
"20003386","24112","K2500 HD Crew Cab SL"
"20003387","24113","I"
"20003388","24114","K2500 HD Crew Cab SLT"
"20003389","24115","I-4 Premier"
"20003390","24116","K2500 HD Extended Cab SLE"
"20003391","24117","II"
"20003392","24118","K2500 HD SL"
"20003393","24119","II Deluxe"
"20003394","24120","K2500 L/D"
"20003395","24121","II LS"
"20003396","24122","K2500 LT"
"20003397","24123","K2500HD Extended Cab"
"20003398","24124","K2500HD Extended Cab LT"
"20003399","24125","K3500"
"20003400","24126","K3500 Crew Cab"
"20003401","24127","II Limited"
"20003402","24128","K3500 Crew Cab LT"
"20003403","24129","II S"
"20003404","24130","K3500 Crew Cab SLE"
"20003405","24131","II XLC"
"20003406","24132","K3500 Extended Cab"
"20003407","24133","III"
"20003408","24134","K3500 Extended Cab LT"
"20003409","24135","III LE"
"20003410","24136","K3500 Extended Cab SLE"
"20003411","24137","IROC"
"20003412","24138","K3500 LS"
"20003413","24139","IROC-Z"
"20003414","24140","K3500 SLE"
"20003415","24141","International"
"20003416","24142","KB"
"20003417","24143","King Cab"
"20003418","24144","King Cab SE-V6"
"20003419","24145","King Ranch"
"20003420","24146","King Ranch Super Crew"
"20003421","24147","Kingswood"
